uni,affil_id,affiliation
harvard university,129850405,advarra; multi-regional clinical trials center of brigham & women’s hospital and harvard
harvard university,60017087,baim institute for clinical research
harvard university,128589001,bloomberg harvard city leadership initiative
harvard university,127777113,botswana harvard aids institute
harvard university,60107841,botswana harvard aids institute partnership
harvard university,124438944,botswana harvard health partnership
harvard university,131291223,botswana harvard health partnership
harvard university,132172111,botswana harvard health partnership
harvard university,122105920,botswana-harvard aids institute partnership
harvard university,132021519,botswana-harvard health partnership
harvard university,100476136,botswana-harvard laboratory
harvard university,125234143,center for astrophysics–harvard and smithsonian
harvard university,60005478,center for biostatistics in aids research
harvard university,60002564,center for climate health and the global environment
harvard university,60023563,center for international development at harvard university
harvard university,131393531,ceuharvard university
harvard university,60010869,channing division of network medicine
harvard university,129821852,co-director of the harvard macy program for educators in the health professions
harvard university,100613296,crico/risk management foundation of the harvard medical institutions
harvard university,60079465,davis center for russian and eurasian studies
harvard university,60020482,department of biomedical informatics
harvard university,113113218,ecole de médecine harvard
harvard university,130489181,escuela de salud pública t. h. chan de harvard
harvard university,126236339,fxb harvard school of public health
harvard university,100829052,harvard
harvard university,105195629,harvard
harvard university,123697372,harvard
harvard university,125516355,harvard
harvard university,127191324,harvard
harvard university,127886334,harvard
harvard university,100354070,harvard affiliated emergency medicine residency
harvard university,112611496,harvard affiliated emergency medicine residency
harvard university,126469955,harvard affiliated emergency medicine residency
harvard university,112750758,harvard affiliated emergency medicine residency program
harvard university,133107021,harvard aga khan program for islamic art
harvard university,129419397,harvard berkman klein center
harvard university,101826932,harvard business review
harvard university,60019666,harvard business school
harvard university,132728569,harvard businesss school
harvard university,100526387,harvard cancer center
harvard university,106181037,harvard cancer commission
harvard university,110110248,harvard catalyst
harvard university,114094876,harvard catalyst | clinical and translational science center
harvard university,132188668,harvard center for education policy research
harvard university,125139008,harvard center for green buildings and cities
harvard university,124433097,harvard center for international affairs
harvard university,128316790,harvard center for mass spectrometry
harvard university,60022098,harvard center for population and development studies
harvard university,107913788,harvard center for population and developmental medicine
harvard university,60027409,harvard center for risk analysis
harvard university,126585984,harvard center of european studies
harvard university,125387983,harvard ceramics studio
harvard university,113759833,harvard chemical laboratory
harvard university,122434725,harvard china project on economy
harvard university,105284061,harvard club
harvard university,131112023,harvard cmsa
harvard university,60000650,harvard college
harvard university,60031821,harvard college observatory
harvard university,112603951,harvard combined dermatology residency program
harvard university,112614217,harvard combined dermatology residency training program
harvard university,100341011,harvard combined orthopaedic residency program
harvard university,112635237,harvard combined orthopaedic residency program
harvard university,126189606,harvard combined orthopaedic residency program
harvard university,126285482,harvard combined orthopaedic residency program
harvard university,112663491,harvard combined orthopaedic surgery program
harvard university,112635079,harvard combined orthopaedic surgery residency program
harvard university,100588074,harvard combined orthopedic residency program
harvard university,100553387,harvard combined program
harvard university,128119692,harvard community services center
harvard university,126595688,harvard data science initiative
harvard university,60145297,harvard department of stem cell and regenerative biology
harvard university,130391158,harvard digital data and design institute
harvard university,60003705,harvard divinity school
harvard university,60010402,harvard division of continuing education
harvard university,133445171,harvard division of continuing education
harvard university,128395671,harvard emergency ultrasound fellowship program
harvard university,60006303,harvard faculty of arts and sciences
harvard university,60007624,harvard forest
harvard university,100661265,harvard françois xavier bagnoud center for health and human rights
harvard university,120878415,harvard fxb center for health and human rights
harvard university,128100164,harvard fxb center for health and human rights
harvard university,130115287,harvard fxb center for health and human rights
harvard university,100628271,harvard geriatric medicine fellowship program
harvard university,110125630,harvard global
harvard university,124127459,harvard global health institute (hghi)
harvard university,101985319,harvard global orthopaedics collaborative
harvard university,132106943,harvard global orthopaedics collaborative
harvard university,126235737,harvard government department
harvard university,114569545,harvard graduate program in bioinformatics and integrative genomics
harvard university,126669368,harvard graduate program in biological and biomedical science
harvard university,110746381,harvard graduate program in biophysics
harvard university,126457826,harvard graduate program in biophysics
harvard university,114162945,harvard graduate program in neuroscience
harvard university,60007773,harvard graduate school of design
harvard university,60029819,harvard graduate school of education
harvard university,128474309,harvard growth lab
harvard university,130508364,harvard health policy review
harvard university,130759853,harvard healthlab accelerators venture board member
harvard university,132117886,harvard immigration and refugee clinical program
harvard university,60099481,harvard initiative for global health
harvard university,120715326,harvard initiative for rna medicine
harvard university,125092439,harvard initiative for rna medicine
harvard university,120065339,harvard innovation labs
harvard university,60030776,harvard institute of medicine
harvard university,112429681,harvard interfaculty initiative in health policy
harvard university,131223807,harvard interfaculty initiative in health policy
harvard university,60077572,harvard john a. paulson school of engineering and applied sciences
harvard university,60145405,harvard joint center for housing studies
harvard university,124465096,harvard kennedy school and nber
harvard university,128818939,harvard kennedy school at foreign policy
harvard university,126737714,harvard kennedy school's corporate responsibility initiative
harvard university,130148763,harvard kennedy school's malcolm wiener center
harvard university,126607703,harvard kennedy school's shorenstein center on media politics and public policy
