Unit,n,perc,total,perc_first,n24,perc_decline
DOE,445717,26.92,55125,23.82,4530,-5.82
HHS,413155,24.95,52887,22.85,3810,-10.96
VA,238670,14.41,33934,14.66,2505,-15.68
DOD,148740,8.98,28378,12.26,2286,-12.78
USDA,104169,6.29,17508,7.56,1412,-8.96
Commerce,68139,4.11,10485,4.53,772,-16.45
Interior,53280,3.22,8970,3.88,742,-13.72
NASA,77733,4.69,8085,3.49,683,-12.32
Smithsonian,43088,2.6,5572,2.41,452,-7.76
NSF,27661,1.67,3078,1.33,234,-2.09
EPA,16495,1,2653,1.15,213,-3.62
Federal Reserve System,4349,0.26,1820,0.79,167,-1.18
Other,5807,0.35,1444,0.62,97,-26.52
State,5204,0.31,576,0.25,41,-4.65
DOJ,894,0.05,228,0.1,14,-30
DOT,1055,0.06,228,0.1,15,-31.82
DHS,963,0.06,192,0.08,19,-5
Treasury,387,0.02,156,0.07,20,66.67
Education,236,0.01,76,0.03,7,-41.67
Labor,114,0.01,48,0.02,NA,NA
HUD,78,0,22,0.01,3,-25
