PM,PY,agency_primary,n,month,month_name,cumul_pubs,change_n,perc_previous
8,2019,commerce,114,64,Aug,1207,NA,NA
8,2020,commerce,109,172,Aug,1127,-80,-6.6
8,2021,commerce,113,280,Aug,1168,41,3.6
8,2022,commerce,104,388,Aug,1055,-113,-9.7
8,2023,commerce,87,496,Aug,1002,-53,-5
8,2024,commerce,71,604,Aug,924,-78,-7.8
8,2025,commerce,65,712,Aug,772,-152,-16.5
8,2019,dod,201,65,Aug,3313,NA,NA
8,2020,dod,230,173,Aug,2966,-347,-10.5
8,2021,dod,264,281,Aug,3041,75,2.5
8,2022,dod,221,389,Aug,2557,-484,-15.9
8,2023,dod,253,497,Aug,2810,253,9.9
8,2024,dod,175,605,Aug,2621,-189,-6.7
8,2025,dod,161,713,Aug,2287,-334,-12.7
8,2019,doe,539,66,Aug,5353,NA,NA
8,2020,doe,588,174,Aug,5471,118,2.2
8,2021,doe,605,282,Aug,5984,513,9.4
8,2022,doe,600,390,Aug,5483,-501,-8.4
8,2023,doe,567,498,Aug,5160,-323,-5.9
8,2024,doe,522,606,Aug,4810,-350,-6.8
8,2025,doe,404,714,Aug,4530,-280,-5.8
8,2019,hhs,479,67,Aug,5372,NA,NA
8,2020,hhs,486,175,Aug,5183,-189,-3.5
8,2021,hhs,531,283,Aug,5686,503,9.7
8,2022,hhs,496,391,Aug,5085,-601,-10.6
8,2023,hhs,414,499,Aug,4784,-301,-5.9
8,2024,hhs,424,607,Aug,4279,-505,-10.6
8,2025,hhs,386,715,Aug,3810,-469,-11
8,2019,interior,75,68,Aug,914,NA,NA
8,2020,interior,111,176,Aug,988,74,8.1
8,2021,interior,90,284,Aug,953,-35,-3.5
8,2022,interior,77,392,Aug,886,-67,-7
8,2023,interior,69,500,Aug,914,28,3.2
8,2024,interior,70,608,Aug,860,-54,-5.9
8,2025,interior,63,716,Aug,742,-118,-13.7
8,2019,nasa,64,69,Aug,805,NA,NA
8,2020,nasa,88,177,Aug,840,35,4.3
8,2021,nasa,86,285,Aug,881,41,4.9
8,2022,nasa,84,393,Aug,789,-92,-10.4
8,2023,nasa,74,501,Aug,800,11,1.4
8,2024,nasa,70,609,Aug,779,-21,-2.6
8,2025,nasa,75,717,Aug,683,-96,-12.3
8,2019,smithsonian,47,70,Aug,604,NA,NA
8,2020,smithsonian,54,178,Aug,593,-11,-1.8
8,2021,smithsonian,50,286,Aug,606,13,2.2
8,2022,smithsonian,46,394,Aug,542,-64,-10.6
8,2023,smithsonian,39,502,Aug,551,9,1.7
8,2024,smithsonian,39,610,Aug,490,-61,-11.1
8,2025,smithsonian,40,718,Aug,452,-38,-7.8
8,2019,usda,159,71,Aug,2058,NA,NA
8,2020,usda,167,179,Aug,1955,-103,-5
8,2021,usda,157,287,Aug,1763,-192,-9.8
8,2022,usda,142,395,Aug,1706,-57,-3.2
8,2023,usda,142,503,Aug,1679,-27,-1.6
8,2024,usda,132,611,Aug,1551,-128,-7.6
8,2025,usda,129,719,Aug,1412,-139,-9
8,2019,va,271,72,Aug,3196,NA,NA
8,2020,va,326,180,Aug,3086,-110,-3.4
8,2021,va,344,288,Aug,3345,259,8.4
8,2022,va,338,396,Aug,3399,54,1.6
8,2023,va,238,504,Aug,3073,-326,-9.6
8,2024,va,258,612,Aug,2971,-102,-3.3
8,2025,va,190,720,Aug,2505,-466,-15.7
