agency,agency_primary,n,perc
doe,doe,55124,23.815160757951492
nih,hhs,34105,14.734345433022561
va,va,33934,14.660468492132752
dod,dod,28361,12.252771465355602
usda,usda,17508,7.563961877770385
cdc,hhs,11149,4.816690140236579
interior,interior,8970,3.875299180009159
nasa,nasa,8085,3.492953608737352
fda,hhs,5891,2.545082215098546
smithsonian,smithsonian,5572,2.4072649978830585
noaa,commerce,5193,2.2435260470220246
nist,commerce,4908,2.1203978122056806
nsf,nsf,3078,1.3297849360165208
epa,epa,2653,1.1461726560272352
federal reserve system,federal reserve system,1820,0.7862925872482351
hhs,hhs,1509,0.6519316011854873
commerce,commerce,384,0.16589909533149577
usaid,state,331,0.14300156394459662
state,state,245,0.10584707905264704
ahrq,hhs,218,0.09418229891215125
doj,doj,208,0.08986200997122687
nrc,other,201,0.08683780771257982
multiagency,other,185,0.07992534540710083
dot,dot,182,0.07862925872482351
dhs,dhs,177,0.07646911425436133
nasem,other,153,0.06610042079614284
treasury,treasury,150,0.06480433411386553
other,other,132,0.05702781402020167
congress,other,109,0.04709114945607563
woodrow wilson international center for scholars,other,86,0.03715448489194958
education,education,76,0.0328341959510252
ftc,other,69,0.029809993692378148
cbo,other,56,0.024193618069176467
us institute of peace,other,54,0.023329560280991594
labor,labor,48,0.02073738691643697
faa,dot,46,0.0198733291282521
ssa,other,44,0.019009271340067226
us holocaust memorial museum,other,30,0.012960866822773106
eop,other,29,0.01252883792868067
sec,other,28,0.012096809034588233
cfpb,other,27,0.011664780140495797
fhfa,other,22,0.009504635670033613
hud,hud,22,0.009504635670033613
commodity futures trading commission,other,21,0.009072606775941176
dea,doj,20,0.008640577881848738
dha,dod,19,0.0082085489877563
fdic,other,19,0.0082085489877563
cia,other,18,0.007776520093663863
gsa,other,17,0.007344491199571427
fema,dhs,15,0.006480433411386553
tva,other,15,0.006480433411386553
usphs,hhs,15,0.006480433411386553
fcc,other,13,0.005616375623201679
national center for missing & exploited children,other,13,0.005616375623201679
national archives and records administration,other,12,0.005184346729109243
cpsc,other,10,0.004320288940924369
ntsb,other,10,0.004320288940924369
gao,other,9,0.0038882600468319317
judiciary,other,9,0.0038882600468319317
nea,other,8,0.0034562311527394952
public company accounting oversight board,other,7,0.0030242022586470583
irs,treasury,6,0.0025921733645546214
nsc,other,6,0.0025921733645546214
usuhs,other,6,0.0025921733645546214
us global change research program,other,5,0.0021601444704621845
equal employment opportunity commission,other,4,0.0017281155763697476
john f kennedy center for the performing arts,other,3,0.0012960866822773107
fmc,other,2,8.640577881848738e-4
odni,other,2,8.640577881848738e-4
opm,other,2,8.640577881848738e-4
federal maritime commission,other,1,4.320288940924369e-4
financial industry regulatory authority,other,1,4.320288940924369e-4
government publishing office,other,1,4.320288940924369e-4
imls,other,1,4.320288940924369e-4
interagency,other,1,4.320288940924369e-4
sba,other,1,4.320288940924369e-4
susquehanna river basin commission,other,1,4.320288940924369e-4
usps,other,1,4.320288940924369e-4
