SO,n,total,perc
nature communications,10377,1063721,0.009755377584911833
scientific reports,9716,1063721,0.00913397404018535
plos one,8386,1063721,0.007883646181658537
astrophysical journal,7707,1063721,0.0072453209065159
proceedings of the national academy of sciences of the united states of america,6543,1063721,0.006151049006271381
jama network open,5083,1063721,0.004778508650294579
monthly notices of the royal astronomical society,4365,1063721,0.004103519625916947
physical review b,3790,1063721,0.0035629643487343015
physical review d,3400,1063721,0.003196326856384334
geophysical research letters,3376,1063721,0.003173764549162797
astronomy and astrophysics,3320,1063721,0.003121119165645879
physical review letters,3232,1063721,0.0030383907058335784
science advances,3170,1063721,0.002980104745511276
nature,2997,1063721,0.002817468114289367
international journal of molecular sciences,2816,1063721,0.002647310713993613
journal of the american chemical society,2585,1063721,0.0024301485069863245
new england journal of medicine,2443,1063721,0.002296654855925567
journal of general internal medicine,2349,1063721,0.0022082858193078823
science,2339,1063721,0.0021988848579655757
frontiers in immunology,2320,1063721,0.0021810230314151923
clinical infectious diseases,2313,1063721,0.0021744423584755777
journal of high energy physics,2156,1063721,0.0020268472654013598
cell reports,2127,1063721,0.00199958447750867
science of the total environment,2117,1063721,0.001990183516166363
military medicine,2046,1063721,0.0019234366906359845
elife,1965,1063721,0.0018472889037632989
cancers,1938,1063721,0.0018219063081390703
international journal of environmental research and public health,1926,1063721,0.001810625154528302
acs applied materials and interfaces,1925,1063721,0.0018096850583940714
astrophysical journal letters,1805,1063721,0.001696873522286389
journal of the american heart association,1785,1063721,0.0016780715996017753
astronomical journal,1774,1063721,0.0016677305421252378
bmj open,1759,1063721,0.0016536291001117774
remote sensing,1710,1063721,0.0016075643895344738
environmental science and technology,1666,1063721,0.0015662001596283236
pediatrics,1618,1063721,0.0015210755451852507
journal of the american academy of dermatology,1609,1063721,0.0015126146799771744
neurology,1585,1063721,0.001490052372755638
journal of chemical physics,1541,1063721,0.0014486881428494877
journal of the american geriatrics society,1523,1063721,0.0014317664124333354
journal of geophysical research atmospheres,1514,1063721,0.0014233055472252592
journal of geophysical research space physics,1512,1063721,0.001421425354956798
acs nano,1507,1063721,0.0014167248742856444
physical review c,1502,1063721,0.001412024393614491
iscience,1429,1063721,0.0013433973758156508
nutrients,1407,1063721,0.0013227152608625758
journal of the american college of cardiology,1404,1063721,0.0013198949724598837
journal of physical chemistry c,1376,1063721,0.0012935722807014246
methods in molecular biology,1370,1063721,0.0012879317038960404
nano letters,1370,1063721,0.0012879317038960404
atmospheric chemistry and physics,1354,1063721,0.0012728901657483493
journal of clinical medicine,1340,1063721,0.0012597288198691197
journal of biological chemistry,1333,1063721,0.001253148146929505
physics of plasmas,1318,1063721,0.0012390467049160447
morbidity and mortality weekly report,1317,1063721,0.0012381066087818141
clinical cancer research,1309,1063721,0.0012305858397079685
jama,1305,1063721,0.0012268254551710458
advanced materials,1304,1063721,0.0012258853590368152
journal of clinical investigation,1298,1063721,0.001220244782231431
journal of infectious diseases,1282,1063721,0.00120520324408374
open forum infectious diseases,1282,1063721,0.00120520324408374
cell,1281,1063721,0.0012042631479495093
jci insight,1272,1063721,0.001195802282741433
journal of applied physics,1259,1063721,0.0011835810329964343
annals of internal medicine,1255,1063721,0.0011798206484595114
journal of clinical oncology,1237,1063721,0.001162898918043359
applied physics letters,1225,1063721,0.001151617764432591
blood,1224,1063721,0.0011506776682983601
frontiers in microbiology,1218,1063721,0.001145037091492976
viruses,1215,1063721,0.001142216803090284
blood advances,1213,1063721,0.0011403366108218226
jama internal medicine,1211,1063721,0.0011384564185533612
vaccine,1201,1063721,0.0011290554572110545
frontiers in marine science,1193,1063721,0.0011215346881372089
circulation,1170,1063721,0.001099912477049903
bmc public health,1167,1063721,0.0010970921886472112
american journal of respiratory and critical care medicine,1140,1063721,0.0010717095930229826
cells,1129,1063721,0.001061368535546445
communications biology,1129,1063721,0.001061368535546445
lancet,1126,1063721,0.0010585482471437528
jama journal of the american medical association,1116,1063721,0.0010491472858014462
annals of surgery,1102,1063721,0.0010359859399222163
nucleic acids research,1094,1063721,0.001028465170848371
angewandte chemie international edition,1087,1063721,0.0010218844979087561
journal of affective disorders,1073,1063721,0.0010087231520295266
chemistry of materials,1067,1063721,0.0010030825752241424
environmental research letters,1063,1063721,9.993221906872197e-4
mbio,1062,1063721,9.98382094552989e-4
world neurosurgery,1060,1063721,9.965019022845276e-4
cancer,1039,1063721,9.767598834656832e-4
annals of surgical oncology,1035,1063721,9.729994989287605e-4
physical review research,1030,1063721,9.682990182576071e-4
nature medicine,1028,1063721,9.664188259891456e-4
physical review a,1020,1063721,9.588980569153002e-4
journal of the american college of radiology,1015,1063721,9.541975762441467e-4
nuclear instruments and methods in physics research section a accelerators spectrometers detectors and associated equipment,1015,1063721,9.541975762441467e-4
journal of nuclear materials,1014,1063721,9.53257480109916e-4
journal of clinical endocrinology and metabolism,1009,1063721,9.485569994387626e-4
alzheimer s and dementia,1006,1063721,9.457367110360706e-4
frontiers in plant science,1002,1063721,9.419763264991478e-4
advanced functional materials,999,1063721,9.391560380964557e-4
journal of surgical research,971,1063721,9.128333463379965e-4
plastic and reconstructive surgery,964,1063721,9.062526733983817e-4
gastroenterology,959,1063721,9.015521927272283e-4
aids and behavior,956,1063721,8.987319043245362e-4
journal of thoracic and cardiovascular surgery,956,1063721,8.987319043245362e-4
chest,952,1063721,8.949715197876135e-4
review of scientific instruments,952,1063721,8.949715197876135e-4
journal of physical chemistry letters,950,1063721,8.930913275191521e-4
clinical gastroenterology and hepatology,945,1063721,8.883908468479987e-4
journal of pediatrics,941,1063721,8.846304623110759e-4
optics express,935,1063721,8.789898855056918e-4
physical review materials,926,1063721,8.705290202976157e-4
ecology and evolution,912,1063721,8.57367674418386e-4
neuroimage,911,1063721,8.564275782841554e-4
american journal of preventive medicine,908,1063721,8.536072898814633e-4
academic medicine,906,1063721,8.517270976130019e-4
emerging infectious diseases,892,1063721,8.385657517337723e-4
frontiers in neurology,880,1063721,8.272845981230041e-4
international journal of radiation oncology biology physics,880,1063721,8.272845981230041e-4
ieee access,879,1063721,8.263445019887734e-4
urology,879,1063721,8.263445019887734e-4
laryngoscope,878,1063721,8.254044058545426e-4
journal of urology,861,1063721,8.09422771572621e-4
plos computational biology,859,1063721,8.075425793041596e-4
nuclear fusion,853,1063721,8.019020024987756e-4
journal of allergy and clinical immunology,852,1063721,8.009619063645448e-4
journal of neuroscience,850,1063721,7.990817140960835e-4
drug and alcohol dependence,848,1063721,7.972015218276221e-4
ecosphere,847,1063721,7.962614256933914e-4
diabetes care,845,1063721,7.9438123342493e-4
physical review e,845,1063721,7.9438123342493e-4
