SO,n,perc
astrophysical journal,2582,1.1884104664810256
scientific reports,2075,0.9550548868892826
plos one,1742,0.801785837571629
military medicine,1629,0.7497756196350079
nature communications,1565,0.7203185050514349
morbidity and mortality weekly report,1193,0.5490990265344166
physical review b,1123,0.5168803074586334
geophysical research letters,1090,0.5016914827514786
proceedings of the national academy of sciences of the united states of america,951,0.4377143120152809
jama network open,926,0.4262076266310726
physical review d,923,0.4248268243849677
physical review letters,881,0.40549559293949783
monthly notices of the royal astronomical society,772,0.35532644466435
physics of plasmas,739,0.3401376199571951
journal of general internal medicine,698,0.32126665592709364
journal of nuclear materials,677,0.31160104020435875
clinical infectious diseases,676,0.31114077278899044
remote sensing,629,0.28950820426667895
journal of geophysical research atmospheres,626,0.28812740202057396
journal of applied physics,619,0.28490553011299563
astronomical journal,617,0.283984995282259
international journal of molecular sciences,607,0.2793823211285757
acs applied materials and interfaces,593,0.2729385773134191
review of scientific instruments,590,0.2715577750673141
journal of the american chemical society,559,0.2572894851908959
science of the total environment,552,0.2540676132833176
methods in molecular biology,551,0.25360734586794925
journal of chemical physics,538,0.247623869468161
astrophysical journal letters,537,0.24716360205279267
science advances,536,0.24670333463742436
journal of physical chemistry c,531,0.2444019975605827
nuclear instruments and methods in physics research section a accelerators spectrometers detectors and associated equipment,525,0.24164039306837273
physical review c,491,0.22599130094584952
journal of the electrochemical society,478,0.22000782454606127
emerging infectious diseases,477,0.21954755713069293
environmental science and technology,467,0.21494488297700964
vaccine,456,0.20988194140795802
frontiers in immunology,441,0.2029779301774331
microbiology resource announcements,434,0.19975605826985482
journal of infectious diseases,427,0.19653418636227646
viruses,423,0.19469311670080316
journal of the american geriatrics society,419,0.19285204703932984
atmospheric chemistry and physics,418,0.19239177962396153
applied physics letters,413,0.19009044254711988
frontiers in microbiology,411,0.1891699077163832
science,369,0.1698386762709134
ecosphere,365,0.1679976066094401
frontiers in marine science,364,0.16753733919407174
chemistry of materials,362,0.1666168043633351
ieee transactions on applied superconductivity,360,0.16569626953259844
optics express,357,0.16431546728649346
american family physician,355,0.1633949324557568
american journal of preventive medicine,353,0.16247439762502014
open forum infectious diseases,351,0.1615538627942835
journal of geophysical research space physics,346,0.15925252571744183
journal of advances in modeling earth systems,344,0.1583319908867052
acs nano,342,0.1574114560559685
journal of physical chemistry letters,332,0.15280878190228525
nature,330,0.15188824707154858
physical review materials,330,0.15188824707154858
acta materialia,314,0.1445239684256553
physical review a,310,0.142682898764182
environmental research letters,309,0.14222263134881366
nuclear fusion,308,0.14176236393344532
atmospheric measurement techniques,305,0.14038156168734034
physical review accelerators and beams,305,0.14038156168734034
international journal of environmental research and public health,300,0.1380802246104987
bulletin of the american meteorological society,299,0.13761995719513037
journal of high energy physics,298,0.13715968977976203
journal of physical chemistry a,294,0.13531862011828874
energies,293,0.1348583527029204
nano letters,293,0.1348583527029204
psychological services,292,0.13439808528755207
astronomy and astrophysics,289,0.13301728304144708
water resources research,285,0.13117621337997376
physical review research,282,0.12979541113386878
physical chemistry chemical physics,280,0.12887487630313213
icarus,279,0.1284146088877638
journal of climate,279,0.1284146088877638
annals of internal medicine,276,0.1270338066416588
ecology and evolution,269,0.1238119347340805
applied energy,268,0.12335166731871218
planetary science journal,268,0.12335166731871218
nucleic acids research,265,0.12197086507260718
plant disease,265,0.12197086507260718
cancers,264,0.12151059765723884
journal of computational physics,264,0.12151059765723884
physical review e,264,0.12151059765723884
monthly weather review,263,0.12105033024187052
infection control and hospital epidemiology,258,0.11874899316502888
nuclear technology,258,0.11874899316502888
iscience,257,0.11828872574966055
weather and forecasting,256,0.11782845833429223
physical review applied,252,0.1159873886728189
public health reports,252,0.1159873886728189
ieee access,247,0.11368605159597726
scientific data,246,0.11322578418060893
applied optics,245,0.1127655167652406
journal of instrumentation,244,0.11230524934987228
geoscientific model development,243,0.11184498193450394
american journal of tropical medicine and hygiene,241,0.1109244471037673
frontiers in plant science,239,0.11000391227303064
acs energy letters,237,0.10908337744229396
forest ecology and management,237,0.10908337744229396
journal of biological chemistry,234,0.10770257519618898
cell reports,231,0.10632177295008399
journal of economic entomology,230,0.10586150553471567
earth and space science,229,0.10540123811934735
acs catalysis,228,0.10494097070397901
new england journal of medicine,228,0.10494097070397901
annals of nuclear energy,227,0.10448070328861069
microorganisms,226,0.10402043587324236
acs omega,224,0.1030999010425057
additive manufacturing,224,0.1030999010425057
analytical chemistry,224,0.1030999010425057
journal of special operations medicine,224,0.1030999010425057
sexually transmitted diseases,224,0.1030999010425057
journal of power sources,223,0.10263963362713738
journal of the atmospheric sciences,223,0.10263963362713738
advanced materials,220,0.1012588313810324
journal of physical chemistry b,220,0.1012588313810324
journal of food protection,219,0.10079856396566404
mbio,219,0.10079856396566404
evidence based practice,218,0.10033829655029572
inorganic chemistry,218,0.10033829655029572
remote sensing of environment,218,0.10033829655029572
nutrients,217,0.09987802913492741
journal of geophysical research planets,216,0.09941776171955906
ieee transactions on geoscience and remote sensing,213,0.09803695947345407
medical care,213,0.09803695947345407
acs sustainable chemistry and engineering,212,0.09757669205808575
elife,212,0.09757669205808575
clinical cancer research,210,0.09665615722734909
water switzerland,206,0.09481508756587578
cells,204,0.09389455273513911
preventing chronic disease,203,0.09343428531977079
journal of the american heart association,201,0.09251375048903412
journal of the acoustical society of america,200,0.0920534830736658
journal of psychiatric research,199,0.09159321565829748
communications biology,198,0.09113294824292914
insects,196,0.09021241341219248
nuclear engineering and design,196,0.09021241341219248
journal of affective disorders,195,0.08975214599682416
acs applied energy materials,194,0.08929187858145582
journal of women s health,194,0.08929187858145582
atmosphere,193,0.0888316111660875
journal of radioanalytical and nuclear chemistry,193,0.0888316111660875
journal of visualized experiments,192,0.08837134375071917
environmental toxicology and chemistry,191,0.08791107633535084
nuclear science and engineering,191,0.08791107633535084
pediatrics,191,0.08791107633535084
frontiers in astronomy and space sciences,189,0.08699054150461417
health services research,187,0.08607000667387753
astrophysical journal supplement series,186,0.08560973925850919
computational materials science,186,0.08560973925850919
bulletin of the seismological society of america,185,0.08514947184314087
ieee transactions on nuclear science,185,0.08514947184314087
journal of the national cancer institute,184,0.08468920442777254
drug and alcohol dependence,183,0.0842289370124042
jom,183,0.0842289370124042
journal of traumatic stress,183,0.0842289370124042
rangeland ecology and management,183,0.0842289370124042
jama internal medicine,181,0.08330840218166755
global change biology,180,0.08284813476629922
journal of geophysical research biogeosciences,179,0.08238786735093089
psychological trauma theory research practice and policy,179,0.08238786735093089
angewandte chemie international edition,176,0.0810070651048259
journal of materials chemistry a,176,0.0810070651048259
journal of public health management and practice,176,0.0810070651048259
seismological research letters,176,0.0810070651048259
journal of astronomical telescopes instruments and systems,175,0.08054679768945758
journal of chemical theory and computation,175,0.08054679768945758
npj computational materials,175,0.08054679768945758
journal of geophysical research solid earth,174,0.08008653027408924
cancer epidemiology biomarkers and prevention,173,0.07962626285872092
ieee transactions on plasma science,172,0.0791659954433526
plos pathogens,172,0.0791659954433526
agronomy,171,0.07870572802798426
journal of clinical investigation,171,0.07870572802798426
energy and fuels,169,0.07778519319724761
frontiers in physiology,169,0.07778519319724761
psychiatry research,169,0.07778519319724761
journal of geophysical research oceans,168,0.07732492578187927
journal of virology,168,0.07732492578187927
macromolecules,168,0.07732492578187927
journal of hydrology,167,0.07686465836651094
advanced energy materials,166,0.07640439095114263
forests,166,0.07640439095114263
international journal of hydrogen energy,166,0.07640439095114263
american journal of infection control,165,0.07594412353577429
applied sciences switzerland,165,0.07594412353577429
journal of environmental management,165,0.07594412353577429
neuropsychopharmacology,165,0.07594412353577429
ecological applications,164,0.07548385612040595
clinical pharmacology and therapeutics,163,0.07502358870503763
fisheries research,163,0.07502358870503763
journal of nutrition,163,0.07502358870503763
journal of atmospheric and oceanic technology,162,0.0745633212896693
us geological survey open file report,162,0.0745633212896693
journal of clinical endocrinology and metabolism,161,0.07410305387430097
journal of the american ceramic society,161,0.07410305387430097
frontiers in neurology,160,0.07364278645893263
aiaa journal,159,0.07318251904356432
crop science,159,0.07318251904356432
jci insight,159,0.07318251904356432
journal of great lakes research,159,0.07318251904356432
sensors,159,0.07318251904356432
vaccines,159,0.07318251904356432
canadian journal of fisheries and aquatic sciences,158,0.07272225162819598
hepatology,158,0.07272225162819598
microbiology spectrum,157,0.07226198421282765
advanced functional materials,156,0.07180171679745932
journal of vacuum science and technology a vacuum surfaces and films,156,0.07180171679745932
aip advances,155,0.071341449382091
pathogens,155,0.071341449382091
agronomy journal,154,0.07088118196672266
contemporary clinical trials,154,0.07088118196672266
journal of synchrotron radiation,154,0.07088118196672266
nanoscale,154,0.07088118196672266
transfusion,154,0.07088118196672266
optics letters,153,0.07042091455135434
