PM,PY,uni,n,month,month_name,cumul_pubs,change_n,perc_previous
8,2019,florida,230,85,Aug,2822,NA,NA
8,2020,florida,260,229,Aug,2903,81,2.9
8,2021,florida,295,373,Aug,3132,229,7.9
8,2022,florida,233,517,Aug,2235,-897,-28.6
8,2023,florida,251,661,Aug,2947,712,31.9
8,2024,florida,255,805,Aug,2802,-145,-4.9
8,2025,florida,226,949,Aug,2695,-107,-3.8
8,2019,harvard,360,86,Aug,4302,NA,NA
8,2020,harvard,598,230,Aug,5292,990,23
8,2021,harvard,544,374,Aug,5491,199,3.8
8,2022,harvard,468,518,Aug,4388,-1103,-20.1
8,2023,harvard,468,662,Aug,4940,552,12.6
8,2024,harvard,464,806,Aug,4779,-161,-3.3
8,2025,harvard,421,950,Aug,4327,-452,-9.5
8,2019,michigan,395,87,Aug,4032,NA,NA
8,2020,michigan,441,231,Aug,4009,-23,-0.6
8,2021,michigan,450,375,Aug,4383,374,9.3
8,2022,michigan,366,519,Aug,3460,-923,-21.1
8,2023,michigan,368,663,Aug,3743,283,8.2
8,2024,michigan,378,807,Aug,3809,66,1.8
8,2025,michigan,326,951,Aug,3355,-454,-11.9
8,2019,minn,263,88,Aug,2731,NA,NA
8,2020,minn,282,232,Aug,2796,65,2.4
8,2021,minn,303,376,Aug,2733,-63,-2.3
8,2022,minn,240,520,Aug,2291,-442,-16.2
8,2023,minn,236,664,Aug,2552,261,11.4
8,2024,minn,216,808,Aug,2463,-89,-3.5
8,2025,minn,196,952,Aug,2375,-88,-3.6
8,2019,ohio_state,243,89,Aug,2773,NA,NA
8,2020,ohio_state,276,233,Aug,2815,42,1.5
8,2021,ohio_state,245,377,Aug,2677,-138,-4.9
8,2022,ohio_state,204,521,Aug,2198,-479,-17.9
8,2023,ohio_state,267,665,Aug,2649,451,20.5
8,2024,ohio_state,242,809,Aug,2703,54,2
8,2025,ohio_state,226,953,Aug,2477,-226,-8.4
8,2019,penn,300,90,Aug,3545,NA,NA
8,2020,penn,365,234,Aug,3688,143,4
8,2021,penn,385,378,Aug,4059,371,10.1
8,2022,penn,330,522,Aug,3195,-864,-21.3
8,2023,penn,384,666,Aug,3726,531,16.6
8,2024,penn,342,810,Aug,3928,202,5.4
8,2025,penn,321,954,Aug,3562,-366,-9.3
8,2019,stanford,365,91,Aug,3637,NA,NA
8,2020,stanford,429,235,Aug,3744,107,2.9
8,2021,stanford,415,379,Aug,3897,153,4.1
8,2022,stanford,387,523,Aug,3278,-619,-15.9
8,2023,stanford,327,667,Aug,3586,308,9.4
8,2024,stanford,333,811,Aug,3416,-170,-4.7
8,2025,stanford,348,955,Aug,3172,-244,-7.1
8,2019,ucla,301,92,Aug,3039,NA,NA
8,2020,ucla,304,236,Aug,2944,-95,-3.1
8,2021,ucla,337,380,Aug,3322,378,12.8
8,2022,ucla,296,524,Aug,2415,-907,-27.3
8,2023,ucla,300,668,Aug,3210,795,32.9
8,2024,ucla,245,812,Aug,2996,-214,-6.7
8,2025,ucla,268,956,Aug,2687,-309,-10.3
8,2019,ucsd,200,93,Aug,2479,NA,NA
8,2020,ucsd,279,237,Aug,2557,78,3.1
8,2021,ucsd,268,381,Aug,2683,126,4.9
8,2022,ucsd,237,525,Aug,2133,-550,-20.5
8,2023,ucsd,223,669,Aug,2480,347,16.3
8,2024,ucsd,216,813,Aug,2367,-113,-4.6
8,2025,ucsd,227,957,Aug,2366,-1,-0
8,2019,ucsf,194,94,Aug,2063,NA,NA
8,2020,ucsf,236,238,Aug,2121,58,2.8
8,2021,ucsf,247,382,Aug,2267,146,6.9
8,2022,ucsf,239,526,Aug,2186,-81,-3.6
8,2023,ucsf,204,670,Aug,2017,-169,-7.7
8,2024,ucsf,210,814,Aug,2079,62,3.1
8,2025,ucsf,177,958,Aug,1806,-273,-13.1
8,2019,unc_ch,206,95,Aug,2532,NA,NA
8,2020,unc_ch,225,239,Aug,2260,-272,-10.7
8,2021,unc_ch,238,383,Aug,2513,253,11.2
8,2022,unc_ch,200,527,Aug,1879,-634,-25.2
8,2023,unc_ch,208,671,Aug,2317,438,23.3
8,2024,unc_ch,202,815,Aug,2320,3,0.1
8,2025,unc_ch,194,959,Aug,2121,-199,-8.6
8,2019,washington,266,96,Aug,3019,NA,NA
8,2020,washington,303,240,Aug,3091,72,2.4
8,2021,washington,319,384,Aug,3099,8,0.3
8,2022,washington,276,528,Aug,2519,-580,-18.7
8,2023,washington,273,672,Aug,2838,319,12.7
8,2024,washington,313,816,Aug,2829,-9,-0.3
8,2025,washington,247,960,Aug,2450,-379,-13.4
