PM,PY,agency_primary,n,month,month_name,cumul_pubs,change_n,perc_previous
8,2019,commerce,114,64,Aug,1205,NA,NA
8,2020,commerce,109,172,Aug,1124,-81,-6.7
8,2021,commerce,113,280,Aug,1162,38,3.4
8,2022,commerce,105,388,Aug,1058,-104,-9
8,2023,commerce,87,496,Aug,998,-60,-5.7
8,2024,commerce,69,604,Aug,911,-87,-8.7
8,2025,commerce,46,712,Aug,726,-185,-20.3
8,2019,dod,201,65,Aug,3295,NA,NA
8,2020,dod,229,173,Aug,2951,-344,-10.4
8,2021,dod,263,281,Aug,3031,80,2.7
8,2022,dod,220,389,Aug,2551,-480,-15.8
8,2023,dod,251,497,Aug,2792,241,9.4
8,2024,dod,174,605,Aug,2601,-191,-6.8
8,2025,dod,124,713,Aug,2107,-494,-19
8,2019,doe,533,66,Aug,5333,NA,NA
8,2020,doe,587,174,Aug,5471,138,2.6
8,2021,doe,607,282,Aug,5968,497,9.1
8,2022,doe,594,390,Aug,5439,-529,-8.9
8,2023,doe,561,498,Aug,5127,-312,-5.7
8,2024,doe,514,606,Aug,4764,-363,-7.1
8,2025,doe,329,714,Aug,4184,-580,-12.2
8,2019,hhs,478,67,Aug,5363,NA,NA
8,2020,hhs,481,175,Aug,5157,-206,-3.8
8,2021,hhs,527,283,Aug,5634,477,9.2
8,2022,hhs,492,391,Aug,5023,-611,-10.8
8,2023,hhs,410,499,Aug,4731,-292,-5.8
8,2024,hhs,420,607,Aug,4225,-506,-10.7
8,2025,hhs,313,715,Aug,3571,-654,-15.5
8,2019,interior,74,68,Aug,908,NA,NA
8,2020,interior,110,176,Aug,979,71,7.8
8,2021,interior,90,284,Aug,939,-40,-4.1
8,2022,interior,78,392,Aug,882,-57,-6.1
8,2023,interior,69,500,Aug,911,29,3.3
8,2024,interior,69,608,Aug,847,-64,-7
8,2025,interior,54,716,Aug,666,-181,-21.4
8,2019,nasa,63,69,Aug,803,NA,NA
8,2020,nasa,86,177,Aug,837,34,4.2
8,2021,nasa,85,285,Aug,875,38,4.5
8,2022,nasa,84,393,Aug,786,-89,-10.2
8,2023,nasa,74,501,Aug,794,8,1
8,2024,nasa,69,609,Aug,773,-21,-2.6
8,2025,nasa,64,717,Aug,630,-143,-18.5
8,2019,smithsonian,47,70,Aug,604,NA,NA
8,2020,smithsonian,54,178,Aug,592,-12,-2
8,2021,smithsonian,50,286,Aug,604,12,2
8,2022,smithsonian,46,394,Aug,540,-64,-10.6
8,2023,smithsonian,39,502,Aug,551,11,2
8,2024,smithsonian,39,610,Aug,484,-67,-12.2
8,2025,smithsonian,36,718,Aug,428,-56,-11.6
8,2019,usda,159,71,Aug,2059,NA,NA
8,2020,usda,167,179,Aug,1948,-111,-5.4
8,2021,usda,157,287,Aug,1762,-186,-9.5
8,2022,usda,142,395,Aug,1704,-58,-3.3
8,2023,usda,141,503,Aug,1680,-24,-1.4
8,2024,usda,130,611,Aug,1548,-132,-7.9
8,2025,usda,98,719,Aug,1328,-220,-14.2
8,2019,va,271,72,Aug,3204,NA,NA
8,2020,va,324,180,Aug,3175,-29,-0.9
8,2021,va,340,288,Aug,3345,170,5.4
8,2022,va,338,396,Aug,3408,63,1.9
8,2023,va,236,504,Aug,3078,-330,-9.7
8,2024,va,257,612,Aug,2979,-99,-3.2
8,2025,va,168,720,Aug,2450,-529,-17.8
