agency,agency_primary,n
doe,doe,94588
nih,hhs,60816
dod,dod,50373
va,va,37889
usda,usda,36862
nasa,nasa,21842
cdc,hhs,18278
interior,interior,16995
smithsonian,smithsonian,13730
noaa,commerce,11689
fda,hhs,10046
nist,commerce,8232
nsf,nsf,7952
epa,epa,4910
hhs,hhs,2952
frs,federal reserve system,2690
usaid,state,1357
commerce,commerce,683
state,state,615
dot,dot,436
ahrq,ahrq,427
doj,doj,355
dhs,dhs,348
nasem,nasem,341
multiagency,multiagency,314
nrc,nrc,237
treasury,treasury,234
congress,congress,143
ftc,ftc,94
faa,dot,90
labor,labor,70
fema,dhs,54
cpsc,cpsc,53
dea,doj,50
hud,hud,48
gsa,gsa,46
eop,eop,39
irs,treasury,36
education,education,33
fhfa,fhfa,32
usphs,hhs,31
ssa,ssa,28
gao,gao,27
tva,tva,27
dha,dod,25
cbo,cbo,24
cia,cia,20
cfpb,cfpb,19
woodrow wilson international center for scholars,woodrow wilson international center for scholars,15
nea,nea,14
sec,sec,14
other,other,10
national center for missing & exploited children,national center for missing & exploited children,9
nsc,nsc,9
opm,opm,8
us global change research program,us global change research program,7
us holocaust memorial museum,us holocaust memorial museum,7
judiciary,judiciary,6
commodity futures trading commission,commodity futures trading commission,4
federal maritime commission,federal maritime commission,4
john f kennedy center for the performing arts,john f kennedy center for the performing arts,4
us institute of peace,us institute of peace,4
usaid funded,usaid funded,4
americorps,americorps,3
fcc,fcc,3
amtrak,amtrak,2
equal employment opportunity commission,equal employment opportunity commission,2
hrsa,hrsa,2
ntsb,ntsb,2
odni,odni,2
public company accounting oversight board,public company accounting oversight board,2
social security advisory board,social security advisory board,2
susquehanna river basin commission,susquehanna river basin commission,2
us arctic research commission,us arctic research commission,2
appalachian regional commission,appalachian regional commission,1
corporation for public broadcasting,corporation for public broadcasting,1
federal retirement thrift investment board,federal retirement thrift investment board,1
financial industry regulatory authority,financial industry regulatory authority,1
fmc,fmc,1
government publishing office,government publishing office,1
imls,imls,1
interagency,interagency,1
interagency grizzly bear study team,interagency grizzly bear study team,1
interamerican foundation,interamerican foundation,1
morris k udall and stewart l udall foundation,morris k udall and stewart l udall foundation,1
national archives and records administration,national archives and records administration,1
ncua,ncua,1
public broadcasting service,public broadcasting service,1
sba,sba,1
usps,usps,1
usuhs,usuhs,1
