agency,agency_primary,n,perc
doe,doe,55125,23.81569567753224
nih,hhs,34105,14.734409089927203
va,va,33934,14.660531829866287
dod,dod,28359,12.251960339576177
usda,usda,17508,7.563994556412417
cdc,hhs,11149,4.816710949819627
interior,interior,8970,3.8753159224936815
nasa,nasa,8085,3.4929686993713953
fda,hhs,5891,2.5450932106365975
smithsonian,smithsonian,5572,2.407275398008338
noaa,commerce,5193,2.2435357397446696
nist,commerce,4908,2.120406972976476
nsf,nsf,3078,1.3297906810964941
epa,epa,2653,1.1461776078456787
federal reserve system,federal reserve system,1820,0.7862959842740803
hhs,hhs,1509,0.6519344177305425
commerce,commerce,384,0.16589981206661916
usaid,state,331,0.143002181755341
state,state,245,0.10584753634458773
ahrq,hhs,218,0.09418270580865358
doj,doj,208,0.08986239820275203
nrc,other,201,0.08683818287862095
multiagency,other,185,0.0799256907091785
dot,dot,182,0.07862959842740803
dhs,dhs,177,0.07646944462445726
nasem,other,153,0.06610070637029357
treasury,treasury,150,0.0648046140885231
other,other,132,0.05702806039790032
congress,other,109,0.04709135290432679
woodrow wilson international center for scholars,other,86,0.037154645410753244
education,education,76,0.032834337804851704
ftc,other,69,0.029810122480720628
cbo,other,56,0.024193722593048625
us institute of peace,other,54,0.02332966107186832
labor,labor,48,0.020737476508327395
faa,dot,46,0.019873414987147085
ssa,other,44,0.019009353465966775
us holocaust memorial museum,other,30,0.012960922817704619
eop,other,29,0.012528892057114466
sec,other,28,0.012096861296524312
cfpb,other,27,0.01166483053593416
fhfa,other,22,0.009504676732983388
hud,hud,22,0.009504676732983388
commodity futures trading commission,other,21,0.009072645972393234
dea,doj,20,0.008640615211803081
dha,dod,19,0.008208584451212926
fdic,other,19,0.008208584451212926
cia,other,18,0.007776553690622773
gsa,other,17,0.007344522930032619
fema,dhs,15,0.0064804614088523095
tva,other,15,0.0064804614088523095
usphs,hhs,15,0.0064804614088523095
fcc,other,13,0.005616399887672002
national center for missing & exploited children,other,13,0.005616399887672002
national archives and records administration,other,12,0.005184369127081849
cpsc,other,10,0.0043203076059015405
ntsb,other,10,0.0043203076059015405
gao,other,9,0.0038882768453113864
judiciary,other,9,0.0038882768453113864
nea,other,8,0.003456246084721232
public company accounting oversight board,other,7,0.003024215324131078
irs,treasury,6,0.0025921845635409244
nsc,other,6,0.0025921845635409244
usuhs,other,6,0.0025921845635409244
us global change research program,other,5,0.0021601538029507703
equal employment opportunity commission,other,4,0.001728123042360616
john f kennedy center for the performing arts,other,3,0.0012960922817704622
fmc,other,2,8.64061521180308e-4
odni,other,2,8.64061521180308e-4
opm,other,2,8.64061521180308e-4
federal maritime commission,other,1,4.32030760590154e-4
financial industry regulatory authority,other,1,4.32030760590154e-4
government publishing office,other,1,4.32030760590154e-4
imls,other,1,4.32030760590154e-4
interagency,other,1,4.32030760590154e-4
sba,other,1,4.32030760590154e-4
susquehanna river basin commission,other,1,4.32030760590154e-4
usps,other,1,4.32030760590154e-4
