SO,n_yr_2025,perc_yr_2025,n_yr_2024,perc_yr_2024,n_yr_2023,perc_yr_2023,n_yr_2022,perc_yr_2022,n_yr_2021,perc_yr_2021,n_yr_2020,perc_yr_2020,n_yr_2019,perc_yr_2019
nature communications,398,1.034,521,0.948,457,0.82,453,0.771,469,0.761,413,0.695,373,0.677
plos one,216,0.561,371,0.675,448,0.804,487,0.829,504,0.818,507,0.853,517,0.938
proceedings of the national academy of sciences of the united states of america,281,0.73,385,0.701,288,0.517,422,0.719,453,0.735,504,0.848,415,0.753
scientific reports,262,0.681,381,0.693,333,0.597,408,0.695,445,0.722,471,0.792,458,0.831
jama network open,286,0.743,437,0.795,426,0.764,393,0.669,365,0.592,289,0.486,205,0.372
nelson textbook of pediatrics volume 1 2,NA,NA,296,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
astrophysical journal,152,0.395,257,0.468,183,0.328,187,0.318,193,0.313,210,0.353,225,0.408
elife,NA,NA,NA,NA,143,0.257,187,0.318,231,0.375,256,0.431,190,0.345
clinical infectious diseases,23,0.06,70,0.127,95,0.17,99,0.169,193,0.313,102,0.172,57,0.103
journal of the american chemical society,144,0.374,181,0.329,147,0.264,160,0.272,170,0.276,182,0.306,189,0.343
frontiers in immunology,30,0.078,61,0.111,69,0.124,180,0.307,188,0.305,108,0.182,60,0.109
science advances,137,0.356,162,0.295,130,0.233,159,0.271,180,0.292,164,0.276,97,0.176
nature,150,0.39,179,0.326,161,0.289,166,0.283,155,0.251,140,0.235,144,0.261
science,86,0.223,120,0.218,124,0.222,167,0.284,175,0.284,166,0.279,136,0.247
new england journal of medicine,75,0.195,125,0.227,61,0.109,115,0.196,121,0.196,174,0.293,132,0.24
international journal of environmental research and public health,20,0.052,43,0.078,76,0.136,150,0.255,170,0.276,101,0.17,77,0.14
cancers,85,0.221,140,0.255,161,0.289,152,0.259,103,0.167,86,0.145,45,0.082
physical review b,38,0.099,142,0.258,127,0.228,116,0.198,138,0.224,159,0.267,140,0.254
cell reports,89,0.231,111,0.202,158,0.283,126,0.215,145,0.235,142,0.239,140,0.254
international journal of molecular sciences,65,0.169,124,0.226,157,0.282,153,0.261,156,0.253,98,0.165,67,0.122
chaucer encyclopedia,NA,NA,NA,NA,154,0.276,NA,NA,NA,NA,NA,NA,NA,NA
jama journal of the american medical association,NA,NA,NA,NA,NA,NA,18,0.031,127,0.206,154,0.259,104,0.189
jama,106,0.275,134,0.244,153,0.274,106,0.181,6,0.01,5,0.008,11,0.02
methods in molecular biology,27,0.07,54,0.098,101,0.181,100,0.17,78,0.127,44,0.074,150,0.272
world neurosurgery,34,0.088,75,0.136,61,0.109,79,0.135,80,0.13,149,0.251,129,0.234
physical review letters,83,0.216,84,0.153,95,0.17,76,0.129,90,0.146,140,0.235,120,0.218
journal of biological chemistry,42,0.109,67,0.122,106,0.19,84,0.143,100,0.162,93,0.156,138,0.25
journal of general internal medicine,111,0.288,121,0.22,109,0.196,138,0.235,130,0.211,136,0.229,117,0.212
annals of surgical oncology,135,0.351,106,0.193,136,0.244,89,0.152,127,0.206,88,0.148,58,0.105
pediatrics,56,0.145,89,0.162,95,0.17,108,0.184,117,0.19,128,0.215,89,0.162
physical review d,66,0.171,120,0.218,105,0.188,122,0.208,127,0.206,112,0.188,110,0.2
monthly notices of the royal astronomical society,27,0.07,81,0.147,111,0.199,111,0.189,104,0.169,81,0.136,126,0.229
annals of surgery,71,0.184,46,0.084,122,0.219,93,0.158,101,0.164,102,0.172,55,0.1
journal of the american academy of dermatology,61,0.158,85,0.155,119,0.213,115,0.196,121,0.196,88,0.148,57,0.103
journal of surgical research,50,0.13,120,0.218,82,0.147,69,0.118,95,0.154,82,0.138,68,0.123
journal of high energy physics,66,0.171,104,0.189,102,0.183,89,0.152,118,0.191,107,0.18,95,0.172
