SO,n,perc
nature communications,3084,0.8028970943143744
plos one,3050,0.7940454402266024
scientific reports,2758,0.7180253521786784
proceedings of the national academy of sciences of the united states of america,2748,0.7154219245058043
jama network open,2401,0.6250829842570729
astrophysical journal,1407,0.36630227357338674
journal of the american chemical society,1173,0.3053820660281326
nature,1095,0.2850753301797146
science advances,1029,0.2678927075387455
elife,1007,0.2621651666584225
science,974,0.2535738553379379
cell reports,911,0.23717226099883104
journal of general internal medicine,862,0.22441546540174795
physical review b,860,0.2238947798671731
international journal of molecular sciences,820,0.2134810691756767
new england journal of medicine,803,0.20905524213179072
cancers,772,0.200984616345881
physical review d,762,0.1983811886730069
annals of surgical oncology,739,0.19239330502539645
frontiers in immunology,696,0.18119856603203777
physical review letters,688,0.1791158238937385
pediatrics,682,0.17755376729001404
journal of high energy physics,681,0.17729342452272664
journal of the american academy of dermatology,646,0.16818142766766725
monthly notices of the royal astronomical society,641,0.1668797138312302
clinical infectious diseases,639,0.1663590282966554
international journal of environmental research and public health,637,0.16583834276208057
cell,631,0.1642762861583561
journal of biological chemistry,630,0.16401594339106867
geophysical research letters,614,0.1598504591144701
world neurosurgery,607,0.15802805974345824
annals of surgery,590,0.15360223269957227
plastic and reconstructive surgery,578,0.1504781194921233
urology,572,0.14891606288839887
laryngoscope,570,0.14839537735382405
journal of surgical research,566,0.1473540062846744
journal of the american heart association,563,0.14657297798281216
journal of clinical investigation,554,0.14422989307722547
methods in molecular biology,554,0.14422989307722547
jci insight,551,0.14344886477536326
neurology,538,0.1400644088006269
bmj open,530,0.1379816666623276
jama,521,0.13563858175674093
clinical cancer research,509,0.132514468549292
journal of chemical physics,506,0.13173344024742978
iscience,477,0.12418349999609485
acs nano,476,0.12392315722880745
acs applied materials and interfaces,469,0.12210075785779557
journal of the american college of radiology,464,0.12079904402135852
journal of neuroscience,462,0.12027835848678368
jama internal medicine,455,0.11845595911577182
journal of clinical medicine,455,0.11845595911577182
blood advances,452,0.1176749308139096
journal of the american geriatrics society,452,0.1176749308139096
academic medicine,441,0.11481116037374808
bmc public health,436,0.11350944653731102
open forum infectious diseases,434,0.1129887610027362
journal of urology,433,0.1127284182354488
aids and behavior,430,0.11194738993358655
applied physics letters,428,0.11142670439901176
nutrients,428,0.11142670439901176
annals of internal medicine,426,0.11090601886443692
current biology,426,0.11090601886443692
neuron,422,0.10986464779528728
nano letters,412,0.10726122012241317
